"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast","comparison_type","method"
"Exosc2","T_cells",0.0261,4.59,0.0152,0.905,0.944,0.949,"WB","Compartment","muscat_edgeR"
"Abl1","T_cells",-0.316,5.77,3.17,0.111,0.232,0.265,"WB","Compartment","muscat_edgeR"
"Qrfp","T_cells",0.104,2.48,0.0545,0.821,0.89,0.901,"WB","Compartment","muscat_edgeR"
"Nup214","T_cells",-0.185,6.56,0.944,0.358,0.515,0.547,"WB","Compartment","muscat_edgeR"
"Fam78a","T_cells",-0.49,7.32,2.28,0.167,0.307,0.342,"WB","Compartment","muscat_edgeR"
"Prrc2b","T_cells",-0.58,7.78,14.2,0.00495,0.0384,0.046,"WB","Compartment","muscat_edgeR"
"Pomt1","T_cells",-0.0112,2.66,0.00113,0.974,0.985,0.987,"WB","Compartment","muscat_edgeR"
"Uck1","T_cells",0.665,4.61,7.45,0.0245,0.09,0.108,"WB","Compartment","muscat_edgeR"
"Swi5","T_cells",0.348,6.49,3.89,0.082,0.19,0.221,"WB","Compartment","muscat_edgeR"
"Golga2","T_cells",-0.24,5.1,1.33,0.28,0.437,0.47,"WB","Compartment","muscat_edgeR"
"Ciz1","T_cells",0.232,5.39,2,0.193,0.338,0.374,"WB","Compartment","muscat_edgeR"
"Bbln","T_cells",0.454,5.11,1.49,0.255,0.409,0.443,"WB","Compartment","muscat_edgeR"
"Lcn2","T_cells",-5.35,6.8,31.4,0.000408,0.0138,0.0132,"WB","Compartment","muscat_edgeR"
"Ptges2","T_cells",0.163,2.88,0.158,0.701,0.806,0.823,"WB","Compartment","muscat_edgeR"
"Slc25a25","T_cells",1.25,5.59,51.9,0.0000683,0.00775,0.00526,"WB","Compartment","muscat_edgeR"
"Naif1","T_cells",0.943,2.98,8.73,0.0164,0.0717,0.087,"WB","Compartment","muscat_edgeR"
"Eeig1","T_cells",-0.198,7.42,1.52,0.251,0.405,0.44,"WB","Compartment","muscat_edgeR"
"Dpm2","T_cells",0.272,4.87,2.28,0.168,0.307,0.342,"WB","Compartment","muscat_edgeR"
"St6galnac4","T_cells",0.164,3.75,0.21,0.659,0.774,0.794,"WB","Compartment","muscat_edgeR"
"St6galnac6","T_cells",0.491,1.69,0.771,0.399,0.554,0.585,"WB","Compartment","muscat_edgeR"
"Eng","T_cells",-0.142,3.59,0.155,0.703,0.808,0.824,"WB","Compartment","muscat_edgeR"
"Fpgs","T_cells",-0.0705,3.44,0.0548,0.82,0.89,0.901,"WB","Compartment","muscat_edgeR"
"Cdk9","T_cells",-0.0485,5.85,0.0441,0.839,0.903,0.912,"WB","Compartment","muscat_edgeR"
"Sh2d3c","T_cells",-0.982,6.33,29,0.000535,0.0149,0.0149,"WB","Compartment","muscat_edgeR"
"Tor2a","T_cells",0.588,4.42,5.8,0.041,0.123,0.146,"WB","Compartment","muscat_edgeR"
"Niban2","T_cells",-1.9,0.489,4.08,0.0695,0.172,0.2,"WB","Compartment","muscat_edgeR"
"Lrsam1","T_cells",-0.516,2.31,1.16,0.31,0.467,0.5,"WB","Compartment","muscat_edgeR"
"Rpl12","T_cells",1.14,11.6,9.49,0.014,0.0656,0.08,"WB","Compartment","muscat_edgeR"
"Slc2a8","T_cells",0.42,2.52,0.575,0.468,0.615,0.645,"WB","Compartment","muscat_edgeR"
"Ralgps1","T_cells",-1.22,4.86,31.8,0.000391,0.0137,0.0129,"WB","Compartment","muscat_edgeR"
"Zbtb34","T_cells",-0.779,2.56,3.32,0.104,0.222,0.254,"WB","Compartment","muscat_edgeR"
"Zbtb43","T_cells",-0.215,4.26,1.02,0.339,0.497,0.529,"WB","Compartment","muscat_edgeR"
"Mvb12b","T_cells",-1.18,4.99,16.7,0.00307,0.0302,0.0358,"WB","Compartment","muscat_edgeR"
"Pbx3","T_cells",-1.88,4.4,28.9,0.000543,0.015,0.015,"WB","Compartment","muscat_edgeR"
"Mapkap1","T_cells",-0.179,6.78,1.25,0.294,0.451,0.485,"WB","Compartment","muscat_edgeR"
"Gapvd1","T_cells",0.12,7.07,0.615,0.454,0.604,0.634,"WB","Compartment","muscat_edgeR"
"Hspa5","T_cells",1.05,8.57,51.6,0.0000693,0.00778,0.0053,"WB","Compartment","muscat_edgeR"
"Rabepk","T_cells",0.0757,4.12,0.101,0.758,0.847,0.861,"WB","Compartment","muscat_edgeR"
"Gm57450","T_cells",1.81,3.88,33.8,0.000299,0.0127,0.0111,"WB","Compartment","muscat_edgeR"
"Fbxw2","T_cells",0.428,6.09,8.63,0.0176,0.0743,0.0902,"WB","Compartment","muscat_edgeR"
"Psmd5","T_cells",0.0293,4.81,0.0255,0.877,0.926,0.933,"WB","Compartment","muscat_edgeR"
"Gm57465","T_cells",1.99,2.65,18.9,0.00126,0.0215,0.023,"WB","Compartment","muscat_edgeR"
"Traf1","T_cells",-0.0738,7.14,0.134,0.724,0.824,0.838,"WB","Compartment","muscat_edgeR"
"Cntrl","T_cells",0.102,7.86,0.355,0.567,0.701,0.725,"WB","Compartment","muscat_edgeR"
"Rab14","T_cells",0.195,6.98,1.13,0.317,0.474,0.507,"WB","Compartment","muscat_edgeR"
"Gsn","T_cells",0.488,4.34,1.63,0.235,0.388,0.423,"WB","Compartment","muscat_edgeR"
"Stom","T_cells",0.409,2.38,0.237,0.637,0.756,0.777,"WB","Compartment","muscat_edgeR"
"Ggta1","T_cells",-1.22,5.11,10.6,0.0107,0.0567,0.0692,"WB","Compartment","muscat_edgeR"
"Dab2ip","T_cells",-5,1.76,60.9,0.0000307,0.00567,0.0033,"WB","Compartment","muscat_edgeR"
"Ndufa8","T_cells",0.357,6.07,3.25,0.107,0.226,0.259,"WB","Compartment","muscat_edgeR"
"Rbm18","T_cells",0.743,5.07,14,0.00513,0.039,0.0469,"WB","Compartment","muscat_edgeR"
"Mrrf","T_cells",0.452,4.05,3.97,0.0796,0.186,0.217,"WB","Compartment","muscat_edgeR"
"Ptgs1","T_cells",0.731,2.17,1.04,0.333,0.491,0.523,"WB","Compartment","muscat_edgeR"
"Pdcl","T_cells",0.244,3.87,0.78,0.402,0.556,0.587,"WB","Compartment","muscat_edgeR"
"Rc3h2","T_cells",-0.142,6.27,0.767,0.405,0.56,0.591,"WB","Compartment","muscat_edgeR"
"Zbtb6","T_cells",0.545,3.67,3.98,0.0792,0.186,0.216,"WB","Compartment","muscat_edgeR"
"Rabgap1","T_cells",-0.338,6.45,4.78,0.0583,0.153,0.18,"WB","Compartment","muscat_edgeR"
"Strbp","T_cells",-0.451,6.07,3.43,0.0989,0.215,0.247,"WB","Compartment","muscat_edgeR"
"Dennd1a","T_cells",-0.364,7.76,6.06,0.0375,0.116,0.139,"WB","Compartment","muscat_edgeR"
"Psmb7","T_cells",0.607,6.07,11.5,0.00876,0.0507,0.0619,"WB","Compartment","muscat_edgeR"
"Nr6a1","T_cells",-0.288,3.97,0.867,0.378,0.534,0.566,"WB","Compartment","muscat_edgeR"
"Rpl35","T_cells",1.41,9.96,15.8,0.00365,0.0325,0.039,"WB","Compartment","muscat_edgeR"
"Arpc5l","T_cells",0.235,6.13,1.54,0.248,0.402,0.436,"WB","Compartment","muscat_edgeR"
"Golga1","T_cells",-0.266,5.4,2.11,0.182,0.325,0.361,"WB","Compartment","muscat_edgeR"
"Scai","T_cells",-0.433,6.08,6.65,0.0311,0.104,0.125,"WB","Compartment","muscat_edgeR"
"Ppp6c","T_cells",0.41,5.96,5.54,0.0446,0.129,0.153,"WB","Compartment","muscat_edgeR"
"Lrp1b","T_cells",0.398,2.96,0.886,0.372,0.528,0.56,"WB","Compartment","muscat_edgeR"
"Kynu","T_cells",-1.55,0.519,1.92,0.194,0.339,0.375,"WB","Compartment","muscat_edgeR"
"Arhgap15","T_cells",0.0188,11.7,0.00772,0.932,0.96,0.963,"WB","Compartment","muscat_edgeR"
"Gtdc1","T_cells",-1.05,7.17,31.6,0.000398,0.0138,0.013,"WB","Compartment","muscat_edgeR"
"Zeb2","T_cells",-1.24,3.88,8,0.021,0.0821,0.0996,"WB","Compartment","muscat_edgeR"
"Acvr2a","T_cells",-0.477,4.56,1.45,0.261,0.415,0.45,"WB","Compartment","muscat_edgeR"
"Orc4","T_cells",0.0449,6.19,0.0864,0.776,0.859,0.872,"WB","Compartment","muscat_edgeR"
"Mbd5","T_cells",-0.801,7.45,20.2,0.00172,0.0242,0.0269,"WB","Compartment","muscat_edgeR"
"Epc2","T_cells",0.225,6.88,1.78,0.217,0.366,0.402,"WB","Compartment","muscat_edgeR"
"Kif5c","T_cells",-0.435,3.64,0.738,0.414,0.567,0.598,"WB","Compartment","muscat_edgeR"
"Lypd6b","T_cells",-0.779,5.64,10.2,0.0118,0.0598,0.0729,"WB","Compartment","muscat_edgeR"
"Mmadhc","T_cells",0.282,4.85,1.06,0.332,0.489,0.522,"WB","Compartment","muscat_edgeR"
"Gm13483","T_cells",-0.779,1.93,3.99,0.0772,0.183,0.213,"WB","Compartment","muscat_edgeR"
"Rbm43","T_cells",-0.302,4.39,1.41,0.268,0.424,0.458,"WB","Compartment","muscat_edgeR"
"Nmi","T_cells",0.392,6.23,5.36,0.0474,0.134,0.159,"WB","Compartment","muscat_edgeR"
"Rif1","T_cells",-0.0274,7.25,0.0162,0.902,0.942,0.947,"WB","Compartment","muscat_edgeR"
"Neb","T_cells",-0.436,5.21,0.31,0.592,0.721,0.744,"WB","Compartment","muscat_edgeR"
"Arl5a","T_cells",-0.643,5.67,4.3,0.0699,0.172,0.201,"WB","Compartment","muscat_edgeR"
"Cacnb4","T_cells",-2.52,1.23,13.3,0.00543,0.0399,0.0481,"WB","Compartment","muscat_edgeR"
"Stam2","T_cells",-0.276,5.37,2.06,0.187,0.331,0.366,"WB","Compartment","muscat_edgeR"
"Fmnl2","T_cells",-2.93,1.88,14,0.0051,0.039,0.0467,"WB","Compartment","muscat_edgeR"
"Prpf40a","T_cells",0.472,7.61,10,0.0123,0.0609,0.0746,"WB","Compartment","muscat_edgeR"
"Arl6ip6","T_cells",0.21,4.95,0.937,0.36,0.517,0.549,"WB","Compartment","muscat_edgeR"
"Nr4a2","T_cells",-1.12,5.46,8.77,0.0169,0.0731,0.0887,"WB","Compartment","muscat_edgeR"
"Gpd2","T_cells",0.255,5.6,1.99,0.194,0.34,0.376,"WB","Compartment","muscat_edgeR"
"Cytip","T_cells",1.52,9.48,38.4,0.000203,0.0108,0.00912,"WB","Compartment","muscat_edgeR"
"Gm13546","T_cells",1.66,2.28,2.84,0.12,0.246,0.279,"WB","Compartment","muscat_edgeR"
"Ccdc148","T_cells",-1.65,2.32,11.5,0.00863,0.0503,0.0614,"WB","Compartment","muscat_edgeR"
"Pkp4","T_cells",-0.724,6.16,4.34,0.0688,0.171,0.199,"WB","Compartment","muscat_edgeR"
"Dapl1","T_cells",1.18,7.32,4.68,0.0604,0.157,0.184,"WB","Compartment","muscat_edgeR"
"Tanc1","T_cells",-0.341,6.58,3.88,0.0823,0.19,0.221,"WB","Compartment","muscat_edgeR"
"Wdsub1","T_cells",0.00207,2.31,0.0000314,0.996,0.998,0.998,"WB","Compartment","muscat_edgeR"
"Baz2b","T_cells",-0.158,7.28,0.619,0.453,0.603,0.632,"WB","Compartment","muscat_edgeR"
"Marchf7","T_cells",1.02,7.73,58.4,0.0000435,0.00632,0.00405,"WB","Compartment","muscat_edgeR"
"Ly75","T_cells",0.257,6.65,2.35,0.162,0.3,0.335,"WB","Compartment","muscat_edgeR"
"Rbms1","T_cells",-0.0854,8.01,0.274,0.614,0.737,0.76,"WB","Compartment","muscat_edgeR"
"Tank","T_cells",-0.335,6.68,3.34,0.103,0.22,0.253,"WB","Compartment","muscat_edgeR"
"Psmd14","T_cells",0.192,6.82,0.831,0.387,0.543,0.574,"WB","Compartment","muscat_edgeR"
"Dpp4","T_cells",0.273,7.88,1.6,0.239,0.391,0.426,"WB","Compartment","muscat_edgeR"
"Gm13561","T_cells",-0.0944,3.86,0.0446,0.838,0.902,0.911,"WB","Compartment","muscat_edgeR"
"Ifih1","T_cells",0.496,4.79,5.71,0.0422,0.125,0.149,"WB","Compartment","muscat_edgeR"
"Cobll1","T_cells",-1.36,4.63,9.43,0.0143,0.0663,0.0807,"WB","Compartment","muscat_edgeR"
"Ttc21b","T_cells",-0.38,3.92,3.23,0.108,0.228,0.261,"WB","Compartment","muscat_edgeR"
"Stk39","T_cells",-1.44,6.55,15.2,0.00407,0.0347,0.0414,"WB","Compartment","muscat_edgeR"
"Cers6","T_cells",-0.869,6.55,11.6,0.00847,0.0498,0.0608,"WB","Compartment","muscat_edgeR"
"Dhrs9","T_cells",-2.21,3.15,5,0.054,0.146,0.172,"WB","Compartment","muscat_edgeR"
"Fastkd1","T_cells",-0.284,4.29,1.73,0.223,0.373,0.409,"WB","Compartment","muscat_edgeR"
"Ppig","T_cells",0.606,6.97,11.8,0.00811,0.049,0.0595,"WB","Compartment","muscat_edgeR"
"Ccdc173","T_cells",0.134,2.46,0.107,0.752,0.842,0.856,"WB","Compartment","muscat_edgeR"
"Phospho2","T_cells",0.057,4.27,0.0515,0.826,0.894,0.904,"WB","Compartment","muscat_edgeR"
"Ssb","T_cells",0.498,7.37,6.56,0.032,0.106,0.127,"WB","Compartment","muscat_edgeR"
"Mettl5","T_cells",0.185,4.02,0.499,0.499,0.643,0.671,"WB","Compartment","muscat_edgeR"
"Ubr3","T_cells",-0.378,6.86,6.07,0.0374,0.116,0.138,"WB","Compartment","muscat_edgeR"
"Myo3b","T_cells",-1.75,5.24,10.4,0.0111,0.0581,0.0708,"WB","Compartment","muscat_edgeR"
"Gorasp2","T_cells",0.236,6.03,2.22,0.172,0.313,0.349,"WB","Compartment","muscat_edgeR"
"Tlk1","T_cells",-0.0171,7.53,0.0105,0.921,0.954,0.957,"WB","Compartment","muscat_edgeR"
"Mettl8","T_cells",-0.571,5.21,6.21,0.0358,0.113,0.135,"WB","Compartment","muscat_edgeR"
"Dcaf17","T_cells",0.16,5.88,0.65,0.442,0.594,0.623,"WB","Compartment","muscat_edgeR"
"Dync1i2","T_cells",-0.0633,6.3,0.112,0.746,0.838,0.852,"WB","Compartment","muscat_edgeR"
"Slc25a12","T_cells",0.0367,6.21,0.0395,0.847,0.907,0.916,"WB","Compartment","muscat_edgeR"
"Hat1","T_cells",0.576,5.28,8.12,0.0202,0.0803,0.0977,"WB","Compartment","muscat_edgeR"
"Metap1d","T_cells",-0.00972,5.07,0.00187,0.967,0.982,0.983,"WB","Compartment","muscat_edgeR"
"Itga6","T_cells",0.00749,7.2,0.000862,0.977,0.987,0.988,"WB","Compartment","muscat_edgeR"
"Pdk1","T_cells",-0.159,6.9,0.228,0.645,0.763,0.783,"WB","Compartment","muscat_edgeR"
"Rapgef4","T_cells",0.0116,7.03,0.00129,0.972,0.985,0.986,"WB","Compartment","muscat_edgeR"
"Map3k20","T_cells",-3.84,0.628,20,0.00131,0.0217,0.0234,"WB","Compartment","muscat_edgeR"
"Cdca7","T_cells",-1.16,3.05,13.3,0.00593,0.0419,0.0505,"WB","Compartment","muscat_edgeR"
"Sp3","T_cells",0.0989,7.31,0.35,0.57,0.703,0.727,"WB","Compartment","muscat_edgeR"
"Sp3os","T_cells",-0.478,4.29,2.22,0.173,0.314,0.35,"WB","Compartment","muscat_edgeR"
"Ola1","T_cells",0.236,6.38,1.77,0.218,0.368,0.403,"WB","Compartment","muscat_edgeR"
"Cir1","T_cells",0.787,6.1,20.9,0.00155,0.0229,0.0253,"WB","Compartment","muscat_edgeR"
"Scrn3","T_cells",0.398,2.61,1.08,0.325,0.483,0.516,"WB","Compartment","muscat_edgeR"
"Gpr155","T_cells",-0.401,3.7,2.75,0.134,0.263,0.298,"WB","Compartment","muscat_edgeR"
"Wipf1","T_cells",-0.543,7.97,14.1,0.00499,0.0387,0.0462,"WB","Compartment","muscat_edgeR"
"Atf2","T_cells",0.243,6.56,2.2,0.174,0.316,0.352,"WB","Compartment","muscat_edgeR"
"Atp5g3","T_cells",0.584,8.21,11.1,0.00957,0.0534,0.0651,"WB","Compartment","muscat_edgeR"
"Lnpk","T_cells",-0.127,4.93,0.492,0.502,0.646,0.673,"WB","Compartment","muscat_edgeR"
"Mtx2","T_cells",-0.0997,4.74,0.17,0.69,0.798,0.815,"WB","Compartment","muscat_edgeR"
"2600014E21Rik","T_cells",0.499,2.5,0.631,0.447,0.598,0.627,"WB","Compartment","muscat_edgeR"
"Gm39859","T_cells",0.413,2.37,1.21,0.3,0.457,0.49,"WB","Compartment","muscat_edgeR"
"Hnrnpa3","T_cells",0.743,9.34,22.8,0.00119,0.021,0.0224,"WB","Compartment","muscat_edgeR"
"Nfe2l2","T_cells",-0.472,6.21,7.8,0.0221,0.0846,0.103,"WB","Compartment","muscat_edgeR"
"Agps","T_cells",-0.138,6.48,0.805,0.394,0.549,0.581,"WB","Compartment","muscat_edgeR"
"Pde11a","T_cells",-0.13,4.86,0.286,0.606,0.732,0.754,"WB","Compartment","muscat_edgeR"
"Rbm45","T_cells",0.14,4.9,0.313,0.59,0.72,0.743,"WB","Compartment","muscat_edgeR"
"Osbpl6","T_cells",-0.615,2.13,0.856,0.379,0.536,0.567,"WB","Compartment","muscat_edgeR"
"Plekha3","T_cells",-0.182,4.67,0.302,0.597,0.725,0.748,"WB","Compartment","muscat_edgeR"
"Ttn","T_cells",-6.13,5.03,87.4,0.00000948,0.00376,0.00192,"WB","Compartment","muscat_edgeR"
"Sestd1","T_cells",-0.488,2.29,0.834,0.386,0.541,0.573,"WB","Compartment","muscat_edgeR"
"Cwc22","T_cells",-0.0573,5.69,0.105,0.754,0.843,0.857,"WB","Compartment","muscat_edgeR"
"Ube2e3","T_cells",-0.132,4.73,0.332,0.58,0.711,0.735,"WB","Compartment","muscat_edgeR"
"Itga4","T_cells",-0.496,9.53,6.83,0.0294,0.101,0.121,"WB","Compartment","muscat_edgeR"
"Cerkl","T_cells",-0.23,3.52,0.296,0.6,0.727,0.75,"WB","Compartment","muscat_edgeR"
"Itprid2","T_cells",-0.182,4.33,0.65,0.442,0.594,0.623,"WB","Compartment","muscat_edgeR"
"Dnajc10","T_cells",-0.268,5.65,2.44,0.155,0.291,0.326,"WB","Compartment","muscat_edgeR"
"Nckap1","T_cells",-0.122,4.19,0.158,0.701,0.806,0.823,"WB","Compartment","muscat_edgeR"
"Dusp19","T_cells",0.683,3.26,3.41,0.0993,0.216,0.247,"WB","Compartment","muscat_edgeR"
"Nup35","T_cells",-0.0638,4.14,0.0734,0.793,0.872,0.883,"WB","Compartment","muscat_edgeR"
"Zc3h15","T_cells",0.741,6.84,14.3,0.00485,0.038,0.0455,"WB","Compartment","muscat_edgeR"
"Itgav","T_cells",-0.74,5.94,23.5,0.00107,0.0199,0.0213,"WB","Compartment","muscat_edgeR"
"Calcrl","T_cells",0.122,5.85,0.186,0.677,0.789,0.806,"WB","Compartment","muscat_edgeR"
"Tfpi","T_cells",-0.196,2.85,0.323,0.584,0.715,0.738,"WB","Compartment","muscat_edgeR"
"Gm13710","T_cells",0.629,2.74,1.88,0.204,0.351,0.387,"WB","Compartment","muscat_edgeR"
"Selenoh","T_cells",0.461,5.74,5.12,0.0517,0.142,0.167,"WB","Compartment","muscat_edgeR"
"Tmx2","T_cells",0.396,4.8,3.46,0.0977,0.213,0.245,"WB","Compartment","muscat_edgeR"
"Med19","T_cells",-0.164,4.56,0.644,0.444,0.596,0.625,"WB","Compartment","muscat_edgeR"
"Zdhhc5","T_cells",0.438,4.9,4.05,0.077,0.183,0.213,"WB","Compartment","muscat_edgeR"
"Clp1","T_cells",0.551,4.62,7.08,0.0274,0.0964,0.116,"WB","Compartment","muscat_edgeR"
"Ube2l6","T_cells",0.815,2.04,1.32,0.278,0.435,0.468,"WB","Compartment","muscat_edgeR"
"Timm10","T_cells",-0.307,4,1.07,0.329,0.487,0.519,"WB","Compartment","muscat_edgeR"
"Prg2","T_cells",-8.9,2.03,36.4,0.000408,0.0138,0.0132,"WB","Compartment","muscat_edgeR"
"Ssrp1","T_cells",0.491,6.72,9.84,0.0129,0.0622,0.0762,"WB","Compartment","muscat_edgeR"
"Tnks1bp1","T_cells",-0.136,3.43,0.19,0.674,0.786,0.804,"WB","Compartment","muscat_edgeR"
"Or5m3b","T_cells",0.544,2.81,1.02,0.338,0.495,0.528,"WB","Compartment","muscat_edgeR"
"Or4c12","T_cells",-3.32,0.768,6.28,0.0326,0.107,0.128,"WB","Compartment","muscat_edgeR"
"Ptprj","T_cells",-1.75,5.63,17.7,0.00258,0.0282,0.0331,"WB","Compartment","muscat_edgeR"
"Nup160","T_cells",0.0534,5.34,0.0639,0.806,0.88,0.892,"WB","Compartment","muscat_edgeR"
"Fnbp4","T_cells",0.413,7.32,9.17,0.0153,0.0686,0.0833,"WB","Compartment","muscat_edgeR"
"Mtch2","T_cells",0.342,5.6,4.58,0.0627,0.161,0.188,"WB","Compartment","muscat_edgeR"
"Ndufs3","T_cells",0.671,6.24,12.3,0.00722,0.0464,0.0563,"WB","Compartment","muscat_edgeR"
"Kbtbd4","T_cells",0.0473,3.76,0.0356,0.855,0.913,0.921,"WB","Compartment","muscat_edgeR"
"Ptpmt1","T_cells",0.293,3.78,1.31,0.284,0.441,0.474,"WB","Compartment","muscat_edgeR"
"Celf1","T_cells",0.00942,7.53,0.00449,0.948,0.97,0.973,"WB","Compartment","muscat_edgeR"
"Psmc3","T_cells",0.651,6.17,11.1,0.00956,0.0533,0.0651,"WB","Compartment","muscat_edgeR"
"Slc39a13","T_cells",-0.31,3.27,1.16,0.311,0.468,0.501,"WB","Compartment","muscat_edgeR"
"Spi1","T_cells",-1.78,3.39,5.98,0.0387,0.119,0.141,"WB","Compartment","muscat_edgeR"
"Madd","T_cells",-0.108,7.41,0.64,0.445,0.597,0.626,"WB","Compartment","muscat_edgeR"
"Acp2","T_cells",-0.728,2.9,4.15,0.074,0.178,0.207,"WB","Compartment","muscat_edgeR"
"Ddb2","T_cells",0.404,5.97,3.91,0.0814,0.189,0.22,"WB","Compartment","muscat_edgeR"
"Arfgap2","T_cells",0.821,5.81,13.9,0.00526,0.0394,0.0474,"WB","Compartment","muscat_edgeR"
"Cstpp1","T_cells",-0.838,4.3,7.72,0.0227,0.086,0.104,"WB","Compartment","muscat_edgeR"
"Ckap5","T_cells",-0.555,5.97,7.73,0.0226,0.0858,0.104,"WB","Compartment","muscat_edgeR"
"Zfp408","T_cells",-0.162,4.19,0.569,0.471,0.618,0.647,"WB","Compartment","muscat_edgeR"
"Arhgap1","T_cells",0.253,6.2,1.51,0.252,0.406,0.441,"WB","Compartment","muscat_edgeR"
"Atg13","T_cells",0.874,5.83,17.5,0.0027,0.0287,0.0338,"WB","Compartment","muscat_edgeR"
"Harbi1","T_cells",0.295,2.96,0.749,0.41,0.564,0.595,"WB","Compartment","muscat_edgeR"
"Ambra1","T_cells",-0.323,7.58,4.95,0.0549,0.148,0.174,"WB","Compartment","muscat_edgeR"
"Mdk","T_cells",-2.52,1.22,19.1,0.00183,0.0249,0.0279,"WB","Compartment","muscat_edgeR"
"Dgkz","T_cells",-0.724,7.41,7.72,0.0226,0.086,0.104,"WB","Compartment","muscat_edgeR"
"Phf21a","T_cells",-0.643,8.35,14,0.00508,0.039,0.0466,"WB","Compartment","muscat_edgeR"
"Pex16","T_cells",0.1,4.13,0.214,0.656,0.771,0.791,"WB","Compartment","muscat_edgeR"
"Cry2","T_cells",0.0264,4.18,0.00801,0.931,0.959,0.962,"WB","Compartment","muscat_edgeR"
"Slc35c1","T_cells",-0.251,4.5,0.943,0.358,0.516,0.548,"WB","Compartment","muscat_edgeR"
"Prdm11","T_cells",-1.19,4.2,14.5,0.00464,0.0371,0.0445,"WB","Compartment","muscat_edgeR"
"Trp53i11","T_cells",-0.279,4.95,0.884,0.373,0.529,0.561,"WB","Compartment","muscat_edgeR"
"Cd82","T_cells",-0.193,7.47,0.479,0.507,0.65,0.678,"WB","Compartment","muscat_edgeR"
"Gm10804","T_cells",-0.243,1.88,0.115,0.742,0.834,0.849,"WB","Compartment","muscat_edgeR"
"Ext2","T_cells",-0.116,5.94,0.363,0.563,0.697,0.722,"WB","Compartment","muscat_edgeR"
"Accs","T_cells",-0.219,3.85,0.931,0.361,0.519,0.551,"WB","Compartment","muscat_edgeR"
"Alkbh3","T_cells",-0.272,4.93,1.91,0.203,0.35,0.386,"WB","Compartment","muscat_edgeR"
"Hsd17b12","T_cells",0.289,5.89,2.04,0.189,0.333,0.369,"WB","Compartment","muscat_edgeR"
"Ttc17","T_cells",-0.558,6.65,15.2,0.00403,0.0344,0.0412,"WB","Compartment","muscat_edgeR"
"2810002D19Rik","T_cells",-0.144,2.56,0.125,0.732,0.829,0.843,"WB","Compartment","muscat_edgeR"
"Api5","T_cells",0.25,6.21,2.5,0.15,0.286,0.32,"WB","Compartment","muscat_edgeR"
"Traf6","T_cells",0.36,5.61,4.04,0.0772,0.183,0.213,"WB","Compartment","muscat_edgeR"
"Prr5l","T_cells",-3.3,2.85,15.4,0.00398,0.0342,0.0409,"WB","Compartment","muscat_edgeR"
"Commd9","T_cells",0.12,3.02,0.142,0.716,0.818,0.833,"WB","Compartment","muscat_edgeR"
"Trim44","T_cells",-0.757,6.84,9.98,0.0124,0.0611,0.0749,"WB","Compartment","muscat_edgeR"
"Cd44","T_cells",-0.538,7.21,1.31,0.283,0.44,0.474,"WB","Compartment","muscat_edgeR"
"Pdhx","T_cells",-0.363,4.16,1.74,0.222,0.372,0.408,"WB","Compartment","muscat_edgeR"
"Apip","T_cells",-0.0772,3.36,0.0681,0.8,0.877,0.888,"WB","Compartment","muscat_edgeR"
"Cat","T_cells",0.657,5.39,7.69,0.0229,0.0863,0.104,"WB","Compartment","muscat_edgeR"
"Abtb2","T_cells",-0.75,7.6,27.6,0.000629,0.016,0.0162,"WB","Compartment","muscat_edgeR"
"Nat10","T_cells",0.00928,5.28,0.00158,0.969,0.983,0.984,"WB","Compartment","muscat_edgeR"
"Caprin1","T_cells",0.307,7.43,4.94,0.0551,0.148,0.174,"WB","Compartment","muscat_edgeR"
"Lmo2","T_cells",-2.76,1.72,31.6,0.000385,0.0136,0.0128,"WB","Compartment","muscat_edgeR"
"Fbxo3","T_cells",-0.0259,5.62,0.0219,0.886,0.931,0.938,"WB","Compartment","muscat_edgeR"
"Hipk3","T_cells",-0.314,5.98,2.49,0.151,0.287,0.322,"WB","Compartment","muscat_edgeR"
"Cstf3","T_cells",-0.6,6.52,9.34,0.0146,0.067,0.0815,"WB","Compartment","muscat_edgeR"
"Qser1","T_cells",-0.0149,4.4,0.00592,0.94,0.965,0.968,"WB","Compartment","muscat_edgeR"
"Prrg4","T_cells",0.259,2.63,0.398,0.544,0.682,0.708,"WB","Compartment","muscat_edgeR"
"Eif3m","T_cells",0.673,7.4,17.4,0.00275,0.0289,0.0342,"WB","Compartment","muscat_edgeR"
"Rcn1","T_cells",-0.251,4.91,0.713,0.422,0.574,0.604,"WB","Compartment","muscat_edgeR"
"Elp4","T_cells",-0.477,6.29,11,0.00967,0.0536,0.0654,"WB","Compartment","muscat_edgeR"
"Immp1l","T_cells",0.05,5.98,0.067,0.802,0.878,0.889,"WB","Compartment","muscat_edgeR"
"Dnajc24","T_cells",-0.0979,4.71,0.161,0.698,0.804,0.821,"WB","Compartment","muscat_edgeR"
"Mpped2","T_cells",-2.82,0.769,13.1,0.0052,0.0392,0.0472,"WB","Compartment","muscat_edgeR"
"Arl14ep","T_cells",0.163,4.03,0.454,0.518,0.661,0.687,"WB","Compartment","muscat_edgeR"
"Mettl15","T_cells",-0.911,4.87,13.1,0.00616,0.0426,0.0514,"WB","Compartment","muscat_edgeR"
"Kif18a","T_cells",-0.317,2.89,0.809,0.393,0.548,0.58,"WB","Compartment","muscat_edgeR"
